#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
alpin_group;;Alpin;;;;;;;;;;;;x
arpitan;;arpitane;;;;;;;;;;;;x
romanche;;romanche;;;;;;;;;;;;x
alemanique;;alémanique;;;;;;;;;;;;x
alpin;;alpine;;;;;;;;;;;;x
group_francique;;Francique;;;;;;;;;;;;x
franc;;franque;;;;;;;;;;;;x
normand;;Normand;;;;;;;;;;;;x
celtique_group;;Celtique;;;;;;;;;;;;x
irlandais;;Irlandais;;;;;;;;;;;;x
ecossais;;Ecossais;;;;;;;;;;;;x
gallois;;Gallois;;;;;;;;;;;;x
breton;;Breton;;;;;;;;;;;;x
iberique_group;;Ibérique;;;;;;;;;;;;x
basque;;Basque;;;;;;;;;;;;x
castillan;;Castillan;;;;;;;;;;;;x
galicien;;Galicien;;;;;;;;;;;;x
musulman_group;;Arabo-musulman;;;;;;;;;;;;x
andalou;;Andalou;;;;;;;;;;;;x
berbere;;Berbère;;;;;;;;;;;;x
sarrasin;;Sarrasin;;;;;;;;;;;;x
provencal_group;;Provençal;;;;;;;;;;;;x
occitan;;Occitan;;;;;;;;;;;;x
limousin;;Limousin;;;;;;;;;;;;x
gascon;;Gascon;;;;;;;;;;;;x
catalan;;Catalan;;;;;;;;;;;;x
italien_group;;Italien;;;;;;;;;;;;x
padan;;Padan;;;;;;;;;;;;x
ligure;;Ligure;;;;;;;;;;;;x
sarde;;Sarde;;;;;;;;;;;;x
germainoccidental_group;;Germanique Occidental;;;;;;;;;;;;x
franconien;;Franconien;;;;;;;;;;;;x
saxon;;Saxon;;;;;;;;;;;;x
frison;;Frison;;;;;;;;;;;;x
germainmeridional_group;;Germanique Méridional;;;;;;;;;;;;x
bavarois;;Bavarois;;;;;;;;;;;;x
souabe;;Souabe;;;;;;;;;;;;x
tyrolien;;Tyrolien;;;;;;;;;;;;x
String_FR_Culture_alemanique_Fem;_;alémanique;;;;;;;;;;;;x
String_FR_Culture_alemanique_Masc;_;alémanique;;;;;;;;;;;;x
String_FR_Culture_alemanique_PlFem;_;alémaniques;;;;;;;;;;;;x
String_FR_Culture_alemanique_PlMasc;_;alémaniques;;;;;;;;;;;;x
String_FR_Culture_arpitan_Fem;_;arpitane;;;;;;;;;;;;x
String_FR_Culture_arpitan_Masc;_;arpitan;;;;;;;;;;;;x
String_FR_Culture_arpitan_PlFem;_;arpitanes;;;;;;;;;;;;x
String_FR_Culture_arpitan_PlMasc;_;arpitans;;;;;;;;;;;;x
