#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;BATIMENTS;;;;;;;;;;;;x
ca_banal_four_L1;;Four banal;;;;;;;;;;;;x
ca_banal_moulin_L1;;Moulin banal;;;;;;;;;;;;x
ca_banal_pressoir_L1;;Pressoir banal;;;;;;;;;;;;x
ca_banal_four_L2;;Four banal agrandi;;;;;;;;;;;;x
ca_banal_moulin_L2;;Moulin banal agrandi;;;;;;;;;;;;x
ca_banal_pressoir_L2;;Pressoir banal agrandi;;;;;;;;;;;;x
ca_banal_taureau_L1;;Taureau banal;;;;;;;;;;;;x
ca_banal_taureau_L1_desc;;Le droit de posséder un taureau est seulement donné au seigneur. Ce qui permet le prélèvement d'une redevance sur la reproduction du bétail.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
ca_culture_arpitan_1;;Cavaliers alpin;;;;;;;;;;;;x
ca_culture_arpitan_2;;Cavaliers alpin;;;;;;;;;;;;x
ca_culture_arpitan_3;;Cavaliers alpin;;;;;;;;;;;;x
ca_culture_arpitan_4;;Cavaliers alpin;;;;;;;;;;;;x
