#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;;Nyon;;;;;;;;;;;;x
PROV2;;Gex;;;;;;;;;;;;x
PROV3;;Genève;;;;;;;;;;;;x
PROV4;;Thonon;;;;;;;;;;;;x
PROV5;;Abondance;;;;;;;;;;;;x
PROV6;;Aigle;;;;;;;;;;;;x
PROV7;;Faucigny;;;;;;;;;;;;x
PROV8;;Giffre;;;;;;;;;;;;x
PROV9;;Trient;;;;;;;;;;;;x
PROV10;;Montjoie;;;;;;;;;;;;x
PROV11;;Annecy;;;;;;;;;;;;x
PROV12;;Seyssel;;;;;;;;;;;;x
PROV13;;Albens;;;;;;;;;;;;x
PROV14;;L'Épine;;;;;;;;;;;;x
PROV15;;Bourget;;;;;;;;;;;;x
PROV16;;Montmélian;;;;;;;;;;;;x
PROV17;;Conflans;;;;;;;;;;;;x
PROV18;;Beaufort;;;;;;;;;;;;x
PROV19;;Maurienne;;;;;;;;;;;;x
PROV20;;Modane;;;;;;;;;;;;x
PROV21;;Mont-Cenis;;;;;;;;;;;;x
PROV22;;Moutiers;;;;;;;;;;;;x
PROV23;;Bourg-Saint-Maurice;;;;;;;;;;;;x
PROV24;;Courmayeur;;;;;;;;;;;;x
PROV25;;Aoste;;;;;;;;;;;;x
PROV26;;Châtillon;;;;;;;;;;;;x
PROV27;;Saint-Maurice;;;;;;;;;;;;x
PROV28;;Martigny;;;;;;;;;;;;x
PROV29;;Mont-Joux;;;;;;;;;;;;x
PROV30;;Conthey;;;;;;;;;;;;x
#;;COMTE SALMORENC;;;;;;;;;;;;x
PROV31;;Voiron;;;;;;;;;;;;x
PROV32;;Moirans;;;;;;;;;;;;x
#;;COMTE VIENNOIS;;;;;;;;;;;;x
PROV33;;La Tour;;;;;;;;;;;;x
PROV34;;Vienne;;;;;;;;;;;;x
PROV35;;Albon;;;;;;;;;;;;x
PROV36;;Romans;;;;;;;;;;;;x
PROV37;;Royans;;;;;;;;;;;;x
#;;COMTE GRENOBLE;;;;;;;;;;;;x
PROV38;;Graisivaudan;;;;;;;;;;;;x
PROV39;;Grenoble;;;;;;;;;;;;x
PROV40;;Oisans;;;;;;;;;;;;x
PROV41;;Vercors;;;;;;;;;;;;x
PROV42;;Trièves;;;;;;;;;;;;x
PROV43;;Valmontheys;;;;;;;;;;;;x
#;;COMTE EMBRUNAIS;;;;;;;;;;;;x
PROV44;;Embrun;;;;;;;;;;;;x
PROV45;;Queyras;;;;;;;;;;;;x
PROV46;;Seynois;;;;;;;;;;;;x
#;;COMTE UBAYE;;;;;;;;;;;;x
PROV47;;Barcelonnette;;;;;;;;;;;;x
PROV48;;Larche;;;;;;;;;;;;x
#;;COMTE GAPENCAIS;;;;;;;;;;;;x
PROV49;;Gap;;;;;;;;;;;;x
PROV50;;Bochaine;;;;;;;;;;;;x
PROV51;;Champsaur;;;;;;;;;;;;x
#;;COMTE BRIGANTIA;;;;;;;;;;;;x
PROV52;;Briançon;;;;;;;;;;;;x
PROV53;;Oulx;;;;;;;;;;;;x
PROV54;;Montgenèvre;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
PROV1018;;Lac du Bourget;;;;;;;;;;;;x
PROV1019;;Lac d'Annecy;;;;;;;;;;;;x
PROV1020;;Isère;;;;;;;;;;;;x
PROV1021;;Rhône supérieur;;;;;;;;;;;;x
PROV1022;;Ain;;;;;;;;;;;;x
PROV1023;;Rhône cisjuran;;;;;;;;;;;;x
PROV1024;;Doire;;;;;;;;;;;;x
PROV1025;;Lac de Neuchâtel;;;;;;;;;;;;x
PROV1026;;Lac Léman;;;;;;;;;;;;x
PROV1027;;;;;;;;;;;;;;x
PROV1028;;;;;;;;;;;;;;x
PROV1029;;;;;;;;;;;;;;x
PROV1030;;Drac;;;;;;;;;;;;x
PROV1031;;Arc;;;;;;;;;;;;x
PROV1032;;Arve;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
